Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw,Altitude
1741962938.56,-0.010,0.008,-0.113,-0.646,0.491,0.098,-84.82,-29.64,93.49,-0.41
1741962938.58,-0.190,0.171,-0.373,-0.372,0.229,0.081,-85.38,-31.62,91.00,-0.41
1741962938.60,-0.325,0.387,-0.686,-0.292,-0.349,0.054,-85.71,-33.23,89.27,-0.41
1741962938.62,-0.394,0.425,-0.650,-0.252,-1.057,0.003,-86.02,-36.20,87.05,-0.41
1741962938.64,-0.311,0.127,-0.519,-0.001,-1.133,-0.123,-86.08,-39.70,84.75,-0.41
1741962938.66,-0.093,-0.146,-0.179,0.188,-0.638,-0.160,-85.89,-41.42,84.00,-0.41
1741962938.68,0.001,-0.249,0.283,0.155,-0.057,-0.142,-85.59,-41.68,84.00,-0.41
1741962938.70,0.030,-0.234,0.436,-0.035,0.155,0.013,-85.49,-41.73,83.77,-0.41
1741962938.72,0.075,-0.114,0.259,-0.339,0.432,0.015,-85.65,-42.79,82.30,-0.41
1741962938.74,0.224,0.046,0.060,-0.521,0.617,-0.021,-86.02,-47.63,76.73,-0.41
1741962938.76,0.313,0.100,0.008,-0.173,0.472,0.101,-86.34,-51.36,72.26,-0.41
1741962938.78,0.267,0.034,0.057,0.102,0.139,0.127,-86.45,-49.55,73.64,-0.49
1741962938.80,0.214,-0.018,0.034,-0.084,-0.271,0.106,-86.51,-47.73,75.46,-0.49
1741962938.82,0.134,0.018,-0.073,-0.340,-0.837,0.154,-86.79,-50.07,73.64,-0.49
1741962938.84,0.018,0.104,-0.169,-0.279,-1.331,0.133,-87.17,-55.07,69.83,-0.49
1741962938.86,-0.061,0.083,-0.066,-0.103,-1.470,0.053,-87.37,-59.09,67.36,-0.49
1741962938.88,-0.108,0.031,0.051,-0.058,-1.148,-0.035,-87.42,-62.13,65.74,-0.49
